time,temp_c,rh_pct
2026-08-12 20:04:07,33.5,20.8
2026-08-12 20:04:17,33.5,21.4
2026-08-12 20:04:27,33.5,21.4
2026-08-12 20:04:37,33.5,21.4
2026-08-12 20:04:47,33.5,21.2
2026-08-12 20:04:57,33.4,21.2
2026-08-12 20:05:07,33.4,21.5
2026-08-12 20:05:17,33.4,20.8
2026-08-12 20:05:27,33.4,21.8
2026-08-12 20:05:37,33.3,21.6
2026-08-12 20:05:47,33.3,21.8
2026-08-12 20:05:57,33.2,21.4
2026-08-12 20:06:07,33.2,21.9
2026-08-12 20:06:17,33.2,21.6
2026-08-12 20:06:27,33.2,21.1
2026-08-12 20:06:37,33.1,20.9
2026-08-12 20:06:47,33.1,21.2
2026-08-12 20:06:57,33.0,21.5
2026-08-12 20:07:07,33.0,21.6
2026-08-12 20:07:17,33.0,21.6
2026-08-12 20:07:27,33.0,22.0
2026-08-12 20:07:37,32.9,21.8
2026-08-12 20:07:47,32.8,22.1
2026-08-12 20:07:57,32.8,21.6
2026-08-12 20:08:07,32.8,21.8
2026-08-12 20:08:17,32.7,21.7
2026-08-12 20:08:27,32.7,21.8
2026-08-12 20:08:37,32.6,21.9
2026-08-12 20:08:47,32.6,22.1
2026-08-12 20:08:57,32.6,22.0
2026-08-12 20:09:07,32.5,22.3
2026-08-12 20:09:17,32.5,22.3
2026-08-12 20:09:27,32.5,22.4
2026-08-12 20:09:37,32.4,21.9
2026-08-12 20:09:47,32.4,22.1
2026-08-12 20:09:57,32.3,22.0
2026-08-12 20:10:07,32.3,22.3
2026-08-12 20:10:17,32.3,22.6
2026-08-12 20:10:27,32.2,22.5
2026-08-12 20:10:37,32.1,22.5
2026-08-12 20:10:47,32.1,22.6
2026-08-12 20:10:57,32.1,22.7
2026-08-12 20:11:07,32.0,22.7
2026-08-12 20:11:17,32.0,22.7
2026-08-12 20:11:27,31.9,23.0
2026-08-12 20:11:37,31.9,23.0
2026-08-12 20:11:47,31.8,23.1
2026-08-12 20:11:57,31.8,23.1
2026-08-12 20:12:07,31.8,23.6
2026-08-12 20:12:17,31.7,23.6
2026-08-12 20:12:27,31.7,23.2
2026-08-12 20:12:37,31.6,23.3
2026-08-12 20:12:47,31.6,23.3
2026-08-12 20:12:57,31.6,23.4
2026-08-12 20:13:07,31.5,23.3
2026-08-12 20:13:17,31.5,23.5
2026-08-12 20:13:27,31.4,23.5
2026-08-12 20:13:37,31.4,23.5
2026-08-12 20:13:47,31.3,23.8
2026-08-12 20:13:57,31.3,23.6
2026-08-12 20:14:07,31.3,23.8
2026-08-12 20:14:17,31.2,23.9
2026-08-12 20:14:27,31.2,24.3
2026-08-12 20:14:37,31.1,24.2
2026-08-12 20:14:47,31.1,24.6
2026-08-12 20:14:57,31.0,24.4
2026-08-12 20:15:07,31.0,24.5
2026-08-12 20:15:17,30.9,24.2
2026-08-12 20:15:27,30.9,24.3
2026-08-12 20:15:37,30.9,24.4
2026-08-12 20:15:47,30.8,24.6
2026-08-12 20:15:57,30.8,24.6
2026-08-12 20:16:07,30.7,24.5
2026-08-12 20:16:17,30.7,24.7
2026-08-12 20:16:27,30.6,24.7
2026-08-12 20:16:37,30.6,24.7
2026-08-12 20:16:47,30.5,24.7
2026-08-12 20:16:57,30.5,24.9
2026-08-12 20:17:07,30.4,25.0
2026-08-12 20:17:17,30.4,25.2
2026-08-12 20:17:27,30.3,25.2
2026-08-12 20:17:37,30.3,24.9
2026-08-12 20:17:47,30.2,25.2
2026-08-12 20:17:57,30.2,25.2
2026-08-12 20:18:07,30.1,25.1
2026-08-12 20:18:17,30.1,25.4
2026-08-12 20:18:27,30.0,25.5
2026-08-12 20:18:37,30.0,25.4
2026-08-12 20:18:47,30.0,25.4
2026-08-12 20:18:57,29.9,25.5
2026-08-12 20:19:07,29.9,25.6
2026-08-12 20:19:17,29.8,25.7
2026-08-12 20:19:27,29.7,25.7
2026-08-12 20:19:37,29.7,25.8
2026-08-12 20:19:47,29.7,25.9
2026-08-12 20:19:57,29.6,25.9
2026-08-12 20:20:07,29.5,26.1
2026-08-12 20:20:17,29.5,26.1
2026-08-12 20:20:27,29.5,26.2
2026-08-12 20:20:37,29.4,26.2
2026-08-12 20:20:47,29.4,26.3
2026-08-12 20:20:57,29.3,26.3
2026-08-12 20:21:07,29.3,26.3
2026-08-12 20:21:17,29.2,26.4
2026-08-12 20:21:27,29.2,26.4
2026-08-12 20:21:37,29.1,26.6
2026-08-12 20:21:47,29.1,26.6
2026-08-12 20:21:57,29.1,26.6
2026-08-12 20:22:07,29.0,26.7
2026-08-12 20:22:17,29.0,26.6
2026-08-12 20:22:27,28.9,27.0
2026-08-12 20:22:37,28.9,27.0
2026-08-12 20:22:47,28.9,27.0
2026-08-12 20:22:57,28.8,27.0
2026-08-12 20:23:07,28.8,26.9
2026-08-12 20:23:17,28.8,27.1
2026-08-12 20:23:27,28.7,27.1
2026-08-12 20:23:37,28.7,27.2
2026-08-12 20:23:47,28.7,27.5
2026-08-12 20:23:57,28.6,27.3
2026-08-12 20:24:07,28.6,27.1
2026-08-12 20:24:17,28.6,27.1
2026-08-12 20:24:27,28.5,27.2
2026-08-12 20:24:37,28.5,27.2
2026-08-12 20:24:47,28.5,27.2
2026-08-12 20:24:57,28.5,27.4
2026-08-12 20:25:07,28.5,27.6
2026-08-12 20:25:17,28.5,27.6
2026-08-12 20:25:27,28.4,27.4
2026-08-12 20:25:37,28.4,27.3
2026-08-12 20:25:47,28.3,27.3
2026-08-12 20:25:57,28.3,27.7
2026-08-12 20:26:07,28.3,27.5
2026-08-12 20:26:17,28.2,27.8
2026-08-12 20:26:27,28.2,27.7
2026-08-12 20:26:37,28.1,27.8
2026-08-12 20:26:47,28.1,27.9
2026-08-12 20:26:57,28.1,27.8
2026-08-12 20:27:07,28.0,27.8
2026-08-12 20:27:17,28.0,27.8
2026-08-12 20:27:27,27.9,27.8
2026-08-12 20:27:37,27.9,27.9
2026-08-12 20:27:47,27.9,27.8
2026-08-12 20:27:57,27.8,27.9
2026-08-12 20:28:07,27.8,27.9
2026-08-12 20:28:17,27.8,28.2
2026-08-12 20:28:27,27.7,28.2
2026-08-12 20:28:37,27.7,28.1
2026-08-12 20:28:47,27.7,28.1
2026-08-12 20:28:57,27.6,28.2
2026-08-12 20:29:07,27.6,28.4
2026-08-12 20:29:17,27.6,28.3
2026-08-12 20:29:27,27.5,28.4
2026-08-12 20:29:37,27.5,28.5
2026-08-12 20:29:47,27.5,28.6
2026-08-12 20:29:57,27.4,28.6
2026-08-12 20:30:07,27.4,28.7
2026-08-12 20:30:17,27.4,28.6
2026-08-12 20:30:27,27.3,28.7
2026-08-12 20:30:37,27.3,28.7
2026-08-12 20:30:47,27.3,28.6
2026-08-12 20:30:57,27.3,28.5
2026-08-12 20:31:07,27.2,28.8
2026-08-12 20:31:17,27.2,28.8
2026-08-12 20:31:27,27.1,28.9
2026-08-12 20:31:37,27.1,28.8
2026-08-12 20:31:47,27.1,28.8
2026-08-12 20:31:57,27.1,28.7
2026-08-12 20:32:07,27.1,28.9
2026-08-12 20:32:17,27.1,28.8
2026-08-12 20:32:27,27.0,28.9
2026-08-12 20:32:37,27.0,29.0
2026-08-12 20:32:47,27.0,29.1
2026-08-12 20:32:57,27.0,29.0
2026-08-12 20:33:07,27.0,29.1
2026-08-12 20:33:17,27.0,29.0
2026-08-12 20:33:27,26.9,29.3
2026-08-12 20:33:37,26.9,29.4
2026-08-12 20:33:47,26.9,29.1
2026-08-12 20:33:57,26.9,29.4
2026-08-12 20:34:07,26.9,29.4
2026-08-12 20:34:17,26.9,29.1
2026-08-12 20:34:27,26.9,29.5
2026-08-12 20:34:37,26.8,29.3
2026-08-12 20:34:47,26.9,29.4
2026-08-12 20:34:57,26.8,29.5
2026-08-12 20:35:07,26.8,29.6
2026-08-12 20:35:17,26.8,29.6
2026-08-12 20:35:27,26.8,29.7
2026-08-12 20:35:37,26.8,29.8
2026-08-12 20:35:47,26.7,29.8
2026-08-12 20:35:57,26.7,29.9
2026-08-12 20:36:07,26.7,30.3
2026-08-12 20:36:17,26.7,30.5
2026-08-12 20:36:27,26.7,30.8
2026-08-12 20:36:37,26.7,30.8
2026-08-12 20:36:47,26.6,30.7
2026-08-12 20:36:57,26.7,31.0
2026-08-12 20:37:07,26.6,30.9
2026-08-12 20:37:17,26.6,30.7
2026-08-12 20:37:27,26.6,30.6
2026-08-12 20:37:37,26.6,30.8
2026-08-12 20:37:47,26.6,31.0
2026-08-12 20:37:57,26.6,31.3
2026-08-12 20:38:07,26.6,31.5
2026-08-12 20:38:17,26.6,32.6
2026-08-12 20:38:27,26.6,32.8
2026-08-12 20:38:37,26.6,33.4
2026-08-12 20:38:47,26.6,33.8
2026-08-12 20:38:57,26.6,34.8
2026-08-12 20:39:07,26.6,35.8
2026-08-12 20:39:17,26.6,35.7
2026-08-12 20:39:27,26.6,36.9
2026-08-12 20:39:37,26.7,37.8
2026-08-12 20:39:47,26.8,38.2
2026-08-12 20:39:57,26.8,38.3
2026-08-12 20:40:07,26.8,38.7
2026-08-12 20:40:17,26.8,39.1
2026-08-12 20:40:27,26.8,38.4
2026-08-12 20:40:37,26.8,38.7
2026-08-12 20:40:47,26.9,39.0
2026-08-12 20:40:57,26.9,39.3
2026-08-12 20:41:07,26.9,40.2
2026-08-12 20:41:17,26.9,39.8
2026-08-12 20:41:27,26.9,39.4
2026-08-12 20:41:37,26.9,39.2
2026-08-12 20:41:47,27.0,38.9
2026-08-12 20:41:57,27.0,39.1
2026-08-12 20:42:07,27.0,39.1
2026-08-12 20:42:17,27.0,38.9
2026-08-12 20:42:27,27.0,38.9
2026-08-12 20:42:37,27.0,38.9
2026-08-12 20:42:47,27.0,39.2
2026-08-12 20:42:57,27.0,39.4
2026-08-12 20:43:07,27.0,39.5
